apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,id,source_url,source_section,scan_date
20,2,7,228,2-H,6,176.63,115.44,לא,9.59,2,מערב/צפון/מזרח/דרום,,,,B2-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29
1,3,קרקע,228,3-A,5,127.69,137.86,לא,9.60,2,צפון/מזרח/מערב,,,,B3-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
2,3,קרקע,228,3-B,5,127.48,179.14,לא,10.11,2,מערב/דרום,,,,B3-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
3,3,1,228,3-C,5,125.93,24.27,כן,9.04,2,צפון/מזרח/מערב,"1,874,913 ₪",,,B3-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
4,3,1,228,3-D,5,127.03,24.29,כן,6.46,2,מערב/דרום,"1,873,507 ₪",,,B3-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
5,3,1,228,3-E,3,82.34,20.64,כן,9.31,2,דרום/מזרח/צפון,"1,190,431 ₪",,,B3-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
6,3,2,228,3-C,5,125.93,24.27,כן,6.90,2,צפון/מזרח/מערב,"1,861,680 ₪",,,B3-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
7,3,2,228,3-D,5,127.03,24.29,כן,7.99,2,מערב/דרום,"1,882,968 ₪",,,B3-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
8,3,2,228,3-E,3,82.34,20.64,כן,8.83,2,דרום/מזרח/צפון,"1,188,057 ₪",,,B3-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
9,3,3,228,3-C,5,125.93,24.27,כן,7.99,2,צפון/מזרח/מערב,"1,868,421 ₪",,,B3-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
10,3,3,228,3-D,5,127.03,24.29,כן,8.08,2,מערב/דרום,"1,883,524 ₪",,,B3-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
11,3,3,228,3-E,3,82.34,20.64,כן,9.07,2,דרום/מזרח/צפון,"1,189,244 ₪",,,B3-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
12,3,4,228,3-C,5,125.93,24.27,כן,8.20,2,צפון/מזרח/מערב,"1,869,719 ₪",,,B3-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
13,3,4,228,3-D,5,127.03,24.29,כן,8.46,2,מערב/דרום,"1,885,874 ₪",,,B3-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
14,3,4,228,3-E,3,82.34,20.64,כן,9.07,2,דרום/מזרח/צפון,"1,189,244 ₪",,,B3-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
15,3,5,228,3-C,5,125.93,24.27,כן,8.49,2,צפון/מזרח/מערב,"1,871,512 ₪",,,B3-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
16,3,5,228,3-D,5,127.03,24.29,כן,8.50,2,מערב/דרום,"1,886,121 ₪",,,B3-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
17,3,5,228,3-E,3,82.34,20.64,כן,9.09,2,דרום/מזרח/צפון,"1,189,343 ₪",,,B3-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
18,3,6,228,3-C,5,125.93,24.27,כן,8.51,2,צפון/מזרח/מערב,"1,871,636 ₪",,,B3-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
19,3,6,228,3-F,5,155.37,100.78,לא,9.59,2,מערב/דרום/מזרח,,,,B3-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
20,3,7,228,3-G,5,184.11,126.56,לא,9.43,2,צפון/מערב/דרום/מזרח,,,,B3-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29
1,4,קרקע,228,3ב-A,5,127.69,264.61,לא,10.41,2,מזרח/צפון/דרום,,,,B4-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
2,4,קרקע,228,3ב-B,5,127.48,268.23,לא,10.39,2,מערב/דרום,,,,B4-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
3,4,1,228,3-CM,5,125.93,24.27,כן,8.56,2,מזרח/צפון/דרום,"1,871,945 ₪",,,B4-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
4,4,1,228,3-DM,5,127.03,24.29,כן,8.24,2,מערב/דרום,"1,884,514 ₪",,,B4-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
5,4,1,228,3-EM,3,82.34,20.64,כן,9.60,2,מערב/צפון/מזרח,"1,191,866 ₪",,,B4-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
6,4,2,228,3-CM,5,125.93,24.27,כן,8.78,2,מזרח/צפון/דרום,"1,873,306 ₪",,,B4-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
7,4,2,228,3-DM,5,127.03,24.29,כן,8.71,2,מערב/דרום,"1,887,420 ₪",,,B4-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
8,4,2,228,3-EM,3,82.34,20.64,כן,9.65,2,מערב/צפון/מזרח,"1,192,113 ₪",,,B4-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
9,4,3,228,3-CM,5,125.93,24.27,כן,9.08,2,מזרח/צפון/דרום,"1,875,161 ₪",,,B4-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
10,4,3,228,3-DM,5,127.03,24.29,כן,8.97,2,מערב/דרום,"1,889,028 ₪",,,B4-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
11,4,3,228,3-EM,3,82.34,20.64,כן,9.93,2,מערב/צפון/מזרח,"1,193,498 ₪",,,B4-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29
