apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,id,source_url,source_section,scan_date
21,7,5,228,4-F,3,82.83,23.91,כן,9.70,2,מזרח,"1,180,289 ₪",,,B7-A21,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
22,7,5,228,4-G,3,83.90,23.90,כן,9.70,2,דרום/מזרח,"1,193,155 ₪",,,B7-A22,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
23,7,6,228,4-C,5.5,144.26,23.94,כן,7.37,2,מערב/צפון,"2,078,565 ₪",,,B7-A23,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
24,7,6,228,4-D,5.5,141.28,23.90,כן,7.87,2,מערב/דרום,"2,043,038 ₪",,,B7-A24,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
25,7,6,228,4-E,5,125.03,18.41,כן,8.87,2,צפון/מזרח,"1,792,161 ₪",,,B7-A25,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
26,7,6,228,4-F,3,82.83,23.91,כן,9.65,2,מזרח,"1,186,099 ₪",,,B7-A26,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
27,7,6,228,4-G,3,83.90,23.90,כן,9.63,2,דרום/מזרח,"1,198,934 ₪",,,B7-A27,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
28,7,7,228,4-C,5.5,144.26,23.94,כן,7.21,2,מערב/צפון,"2,089,726 ₪",,,B7-A28,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
29,7,7,228,4-D,5.5,141.28,23.90,כן,7.37,2,מערב/דרום,"2,051,947 ₪",,,B7-A29,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
30,7,7,228,4-E,5,125.03,18.41,כן,8.75,2,צפון/מזרח,"1,802,105 ₪",,,B7-A30,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
31,7,7,228,4-F,3,82.83,23.91,כן,9.59,2,מזרח,"1,191,858 ₪",,,B7-A31,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
32,7,7,228,4-G,3,83.90,23.90,כן,9.59,2,דרום/מזרח,"1,206,071 ₪",,,B7-A32,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
33,7,8,228,4-C,5.5,144.26,23.94,כן,7.15,2,מערב/צפון,"2,101,489 ₪",,,B7-A33,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
34,7,8,228,4-D,5.5,141.28,23.90,כן,7.20,2,מערב/דרום,"2,062,845 ₪",,,B7-A34,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
35,7,8,228,4-E,5,125.03,18.41,כן,9.57,2,צפון/מזרח,"1,817,795 ₪",,,B7-A35,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
36,7,8,228,4-F,3,82.83,23.91,כן,9.58,2,מזרח,"1,197,860 ₪",,,B7-A36,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
37,7,8,228,4-G,3,83.90,23.90,כן,9.55,2,דרום/מזרח,"1,213,471 ₪",,,B7-A37,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
38,7,9,228,4-C-2,5.5,143.86,23.94,כן,7.05,2,מערב/צפון,"2,107,772 ₪",,,B7-A38,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
39,7,9,228,4-D,5.5,141.28,23.90,כן,7.85,2,מערב/דרום,"2,078,778 ₪",,,B7-A39,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
40,7,9,228,4-E,5,125.03,18.41,כן,8.74,2,צפון/מזרח,"1,823,384 ₪",,,B7-A40,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
41,7,9,228,4-F,3,82.83,23.91,כן,9.55,2,מזרח,"1,204,702 ₪",,,B7-A41,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
42,7,9,228,4-G,3,83.90,23.90,כן,9.54,2,דרום/מזרח,"1,221,053 ₪",,,B7-A42,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
43,7,10,228,4-C-2,5.5,143.86,23.94,כן,5.65,2,מערב/צפון,"2,111,215 ₪",,,B7-A43,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
44,7,10,228,4-D,5.5,141.28,23.90,כן,6.50,2,מערב/דרום,"2,082,383 ₪",,,B7-A44,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
45,7,10,228,4-E,5,125.03,18.41,כן,8.68,2,צפון/מזרח,"1,833,684 ₪",,,B7-A45,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
46,7,10,228,4-F,3,82.83,23.91,כן,9.53,2,מזרח,"1,212,140 ₪",,,B7-A46,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
47,7,10,228,4-G,3,83.90,23.90,כן,9.50,2,דרום/מזרח,"1,228,449 ₪",,,B7-A47,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
48,7,11,228,4-C,5.5,144.26,23.94,כן,6.12,2,מערב/צפון,"2,119,377 ₪",,,B7-A48,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
49,7,11,228,4-D,5.5,141.28,23.90,כן,6.63,2,מערב/דרום,"2,083,187 ₪",,,B7-A49,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
50,7,11,228,4-E,5,125.03,18.41,כן,8.65,2,צפון/מזרח,"1,833,498 ₪",,,B7-A50,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
51,7,11,228,4-F,3,82.83,23.91,כן,9.48,2,מזרח,"1,211,831 ₪",,,B7-A51,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
52,7,11,228,4-G,3,83.90,23.90,כן,9.48,2,דרום/מזרח,"1,228,325 ₪",,,B7-A52,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
53,7,12,228,4-C,5.5,144.26,23.94,לא,10.00,2,מערב/צפון,,,,B7-A53,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
54,7,12,228,4-D-2,5.5,141.04,23.90,כן,10.04,2,מערב/דרום,"2,113,125 ₪",,,B7-A54,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
55,7,12,228,4-E,5,125.03,18.41,כן,8.64,2,צפון/מזרח,"1,844,104 ₪",,,B7-A55,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
56,7,12,228,4-F,3,82.83,23.91,כן,9.35,2,מזרח,"1,218,582 ₪",,,B7-A56,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
57,7,12,228,4-G,3,83.90,23.90,כן,9.35,2,דרום/מזרח,"1,235,159 ₪",,,B7-A57,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
58,7,13,228,4-N,5.5,142.42,23.94,לא,9.94,2,מערב/צפון,,,,B7-A58,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
59,7,13,228,4-O,5.5,139.78,23.90,כן,10.14,2,מערב/דרום,"2,109,033 ₪",,,B7-A59,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
60,7,13,228,4-E,5,125.03,18.41,כן,8.59,2,צפון/מזרח,"1,854,458 ₪",,,B7-A60,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
61,7,13,228,4-F,3,82.83,23.91,כן,9.34,2,מזרח,"1,226,074 ₪",,,B7-A61,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
62,7,13,228,4-G,3,83.90,23.90,כן,9.28,2,דרום/מזרח,"1,242,360 ₪",,,B7-A62,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
63,7,14,228,4-N,5.5,142.42,23.94,לא,9.88,2,מערב/צפון,,,,B7-A63,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
64,7,14,228,4-O,5.5,139.78,23.90,לא,10.72,2,מערב/דרום,,,,B7-A64,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
65,7,14,228,4-E,5,125.03,18.41,כן,8.58,2,צפון/מזרח,"1,865,061 ₪",,,B7-A65,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
66,7,14,228,4-F,3,82.83,23.91,כן,9.26,2,מזרח,"1,233,127 ₪",,,B7-A66,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
67,7,14,228,4-G,3,83.90,23.90,כן,9.23,2,דרום/מזרח,"1,249,681 ₪",,,B7-A67,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
68,7,15,228,4-N,5.5,142.42,23.94,לא,9.88,2,מערב/צפון,,,,B7-A68,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
69,7,15,228,4-O,5.5,139.78,23.90,לא,10.06,2,מערב/דרום,,,,B7-A69,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
70,7,15,228,4-E,5,125.03,18.41,כן,8.37,2,צפון/מזרח,"1,874,402 ₪",,,B7-A70,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
71,7,15,228,4-F,3,82.83,23.91,כן,9.23,2,מזרח,"1,240,490 ₪",,,B7-A71,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
72,7,15,228,4-G,3,83.90,23.90,כן,9.18,2,דרום/מזרח,"1,257,000 ₪",,,B7-A72,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
73,7,16,228,4-N,5.5,142.42,23.94,לא,9.87,2,מערב/צפון,,,,B7-A73,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
74,7,16,228,4-O,5.5,139.78,23.90,לא,10.05,2,מערב/דרום,,,,B7-A74,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
75,7,16,228,4-E,5,125.03,18.41,כן,8.33,2,צפון/מזרח,"1,884,807 ₪",,,B7-A75,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
76,7,16,228,4-F,3,82.83,23.91,כן,9.16,2,מזרח,"1,247,598 ₪",,,B7-A76,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
77,7,16,228,4-G,3,83.90,23.90,כן,9.12,2,דרום/מזרח,"1,264,252 ₪",,,B7-A77,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
78,7,17,228,4-N,5.5,142.42,23.94,לא,9.85,2,מערב/צפון,,,,B7-A78,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
79,7,17,228,4-O,5.5,139.78,23.90,לא,9.91,2,מערב/דרום,,,,B7-A79,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
80,7,17,228,4-E,5,125.03,18.41,כן,8.27,2,צפון/מזרח,"1,895,083 ₪",,,B7-A80,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
81,7,17,228,4-F,3,82.83,23.91,כן,9.01,2,מזרח,"1,254,192 ₪",,,B7-A81,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
82,7,17,228,4-G,3,83.90,23.90,כן,9.00,2,דרום/מזרח,"1,271,118 ₪",,,B7-A82,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
83,7,18,228,4-N,5.5,142.42,23.94,לא,9.85,2,מערב/צפון,,,,B7-A83,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
84,7,18,228,4-O,5.5,139.78,23.90,לא,9.89,2,מערב/דרום,,,,B7-A84,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
85,7,18,228,4-E-1,5,125.03,18.41,כן,8.22,2,צפון/מזרח,"1,905,419 ₪",,,B7-A85,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
86,7,18,228,4-F,3,82.83,23.91,כן,8.99,2,מזרח,"1,261,609 ₪",,,B7-A86,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
87,7,18,228,4-G-1,3,83.90,23.90,כן,8.95,2,דרום/מזרח,"1,278,425 ₪",,,B7-A87,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
88,7,19,228,4-H,6,186.47,97.36,לא,9.04,2,מערב/צפון/מזרח,,,,B7-A88,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
89,7,19,228,4-I,5,182.68,88.89,לא,5.47,2,מערב/דרום/מזרח,,,,B7-A89,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
90,7,19,228,4-F,3,82.83,23.91,כן,5.44,2,מזרח,"1,246,322 ₪",,,B7-A90,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
91,7,20,228,4-K,6,188.18,85.12,לא,7.18,2,מערב/צפון/מזרח/דרום,,,,B7-A91,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
92,7,20,228,4-L,5,170.66,67.14,לא,9.82,2,צפון/מערב/דרום/מזרח,,,,B7-A92,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
93,7,21,228,4-M,6,208.71,176.26,לא,9.79,2,מערב/צפון/דרום/מזרח,,,,B7-A93,https://shoval-haifa.webzsites.site/#priceListD,מבנה 7,2026-07-29
1,8,קרקע,229,2-I,5,142.98,188.99,לא,9.36,2,צפון/מערב/דרום,,,,B8-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
2,8,קרקע,229,2-K,5,141.12,213.34,לא,9.57,2,מזרח/דרום/מערב,,,,B8-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
3,8,1,229,2-C,5,125.84,21.46,כן,7.68,2,צפון/מערב/דרום,"1,852,289 ₪",,,B8-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
4,8,1,229,2-D,5,125.85,21.27,כן,6.52,2,מזרח/דרום/מערב,"1,844,366 ₪",,,B8-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
5,8,1,229,2-E,3,80.00,17.98,כן,5.26,2,מזרח/צפון,"1,131,587 ₪",,,B8-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
6,8,2,229,2-C,5,125.84,21.46,כן,8.24,2,צפון/מערב/דרום,"1,855,752 ₪",,,B8-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
7,8,2,229,2-D,5,125.85,21.27,כן,8.25,2,מזרח/דרום/מערב,"1,855,064 ₪",,,B8-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
8,8,2,229,2-E,3,80.00,17.98,כן,5.26,2,מזרח/צפון,"1,131,587 ₪",,,B8-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
9,8,3,229,2-C,5,125.84,21.46,כן,8.27,2,צפון/מערב/דרום,"1,855,937 ₪",,,B8-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
10,8,3,229,2-D,5,125.85,21.27,כן,8.27,2,מזרח/דרום/מערב,"1,855,187 ₪",,,B8-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
11,8,3,229,2-E,3,80.00,17.98,כן,5.39,2,מזרח/צפון,"1,132,230 ₪",,,B8-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
12,8,4,229,2-C,5,125.84,21.46,כן,8.68,2,צפון/מערב/דרום,"1,858,473 ₪",,,B8-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
13,8,4,229,2-D,5,125.85,21.27,כן,8.46,2,מזרח/דרום/מערב,"1,856,362 ₪",,,B8-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
14,8,4,229,2-E,3,80.00,17.98,כן,7.03,2,מזרח/צפון,"1,140,343 ₪",,,B8-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
15,8,5,229,2-C-1,5,125.84,21.46,כן,8.86,2,צפון/מערב/דרום,"1,859,586 ₪",,,B8-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
16,8,5,229,2-D-1,5,125.85,21.27,כן,8.94,2,מזרח/דרום/מערב,"1,859,331 ₪",,,B8-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
17,8,5,229,2-E-1,3,80.00,17.98,כן,7.59,2,מזרח/צפון,"1,143,114 ₪",,,B8-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
18,8,6,229,2-F,5,144.62,39.14,לא,9.13,2,מזרח/צפון/מערב/דרום,,,,B8-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
19,8,6,229,2-G,5,142.20,39.50,לא,9.15,2,צפון/מערב/דרום/מזרח,,,,B8-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
20,8,7,229,2-H,6,176.63,115.44,לא,9.00,2,מזרח/צפון/מערב/דרום,,,,B8-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 8,2026-07-29
1,9,קרקע,229,5-A,5,140.89,241.63,לא,6.55,2,מערב/צפון/מזרח,,,,B9-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
2,9,1,229,5-B,4,113.97,24.71,כן,6.27,2,מערב/צפון/מזרח,"1,667,884 ₪",,,B9-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
3,9,1,229,5-C,4,116.70,24.89,כן,5.99,2,מערב/דרום/מזרח,"1,702,860 ₪",,,B9-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
4,9,2,229,5-B,4,113.97,24.71,כן,5.68,2,מערב/צפון/מזרח,"1,664,236 ₪",,,B9-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
5,9,2,229,5-C,4,116.70,24.89,כן,5.85,2,מערב/דרום/מזרח,"1,701,995 ₪",,,B9-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
6,9,3,229,5-B,4,113.97,24.71,כן,5.69,2,מערב/צפון/מזרח,"1,664,298 ₪",,,B9-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
7,9,3,229,5-C,4,116.70,24.89,כן,5.12,2,מערב/דרום/מזרח,"1,697,481 ₪",,,B9-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
8,9,4,229,5-B,4,113.97,24.71,כן,6.27,2,מערב/צפון/מזרח,"1,667,884 ₪",,,B9-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
9,9,4,229,5-C,4,116.70,24.89,כן,6.51,2,מערב/דרום/מזרח,"1,706,076 ₪",,,B9-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
10,9,5,229,5-B-1,4,113.97,24.71,כן,6.45,2,מערב/צפון/מזרח,"1,668,997 ₪",,,B9-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
11,9,5,229,5-C-1,4,116.70,24.89,כן,6.91,2,מערב/דרום/מזרח,"1,708,549 ₪",,,B9-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
12,9,6,229,5-D,5,141.75,100.07,לא,10.86,2,מערב/דרום/מזרח/צפון,,,,B9-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 9,2026-07-29
1,10,קרקע,229,3-M,5,127.69,133.23,לא,10.03,2,צפון/מערב/מזרח,,,,B10-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
2,10,קרקע,229,3-N,5,127.48,253.21,לא,10.11,2,דרום/מערב,,,,B10-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
3,10,1,229,3-C,5,125.93,24.27,כן,7.27,2,צפון/מערב/מזרח,"1,863,968 ₪",,,B10-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
4,10,1,229,3-D,5,127.03,24.29,כן,7.52,2,דרום/מערב,"1,880,061 ₪",,,B10-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
5,10,1,229,3-E,3,82.34,20.64,כן,5.88,2,דרום/מזרח/צפון,"1,173,463 ₪",,,B10-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
6,10,2,229,3-C,5,125.93,24.27,כן,8.36,2,צפון/מערב/מזרח,"1,870,708 ₪",,,B10-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
7,10,2,229,3-D,5,127.03,24.29,כן,7.86,2,דרום/מערב,"1,882,164 ₪",,,B10-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
8,10,2,229,3-E,3,82.34,20.64,כן,6.05,2,דרום/מזרח/צפון,"1,174,304 ₪",,,B10-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
9,10,3,229,3-C,5,125.93,24.27,כן,8.45,2,צפון/מערב/מזרח,"1,871,265 ₪",,,B10-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
10,10,3,229,3-D,5,127.03,24.29,כן,8.36,2,דרום/מערב,"1,885,256 ₪",,,B10-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
11,10,3,229,3-E,3,82.34,20.64,כן,6.05,2,דרום/מזרח/צפון,"1,174,304 ₪",,,B10-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
12,10,4,229,3-C,5,125.93,24.27,כן,8.59,2,צפון/מערב/מזרח,"1,872,131 ₪",,,B10-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
13,10,4,229,3-D,5,127.03,24.29,כן,8.50,2,דרום/מערב,"1,886,121 ₪",,,B10-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
14,10,4,229,3-E,3,82.34,20.64,כן,6.23,2,דרום/מזרח/צפון,"1,175,194 ₪",,,B10-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
15,10,5,229,3-C,5,125.93,24.27,כן,8.93,2,צפון/מערב/מזרח,"1,874,233 ₪",,,B10-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
16,10,5,229,3-D,5,127.03,24.29,כן,8.93,2,דרום/מערב,"1,888,780 ₪",,,B10-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
17,10,5,229,3-E,3,82.34,20.64,כן,6.44,2,דרום/מזרח/צפון,"1,176,233 ₪",,,B10-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
18,10,6,229,3-C,5,125.93,24.27,כן,9.98,2,צפון/מערב/מזרח,"1,880,726 ₪",,,B10-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
19,10,6,229,3-F,5,155.37,100.78,לא,9.81,2,מזרח/דרום/מערב,,,,B10-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
20,10,7,229,3-G,5,184.11,126.56,לא,9.51,2,צפון/מזרח/דרום/מערב,,,,B10-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 10,2026-07-29
1,11,קרקע+ מרתף,229,3-OM,4,179.23,130.89,לא,9.71,2,צפון/מזרח/דרום,,,,B11-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
2,11,קרקע+ מרתף,228,3-PM,4,184.87,200.38,לא,9.47,2,מערב/דרום,,,,B11-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
3,11,1,228,3-CM,5,125.93,24.27,כן,9.07,2,צפון/מזרח/דרום,"1,875,099 ₪",,,B11-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
4,11,1,228,3-DM,5,127.03,24.29,כן,9.03,2,מערב/דרום,"1,889,399 ₪",,,B11-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
5,11,1,228,3-EM,3,82.34,20.64,כן,7.59,2,מערב/צפון/מזרח,"1,181,922 ₪",,,B11-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
6,11,2,228,3-CM,5,125.93,24.27,כן,9.16,2,צפון/מזרח/דרום,"1,875,655 ₪",,,B11-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
7,11,2,228,3-DM,5,127.03,24.29,כן,9.16,2,מערב/דרום,"1,890,203 ₪",,,B11-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
8,11,2,228,3-EM,3,82.34,20.64,כן,8.90,2,מערב/צפון/מזרח,"1,188,403 ₪",,,B11-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
9,11,3,228,3-CM,5,125.93,24.27,כן,9.32,2,צפון/מזרח/דרום,"1,876,645 ₪",,,B11-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
10,11,3,228,3-DM,5,127.03,24.29,כן,9.24,2,מערב/דרום,"1,890,697 ₪",,,B11-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
11,11,3,228,3-EM,3,82.34,20.64,כן,8.71,2,מערב/צפון/מזרח,"1,187,463 ₪",,,B11-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
12,11,4,228,3-CM,5,125.93,24.27,כן,9.39,2,צפון/מזרח/דרום,"1,877,078 ₪",,,B11-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
13,11,4,228,3-DM,5,127.03,24.29,כן,9.61,2,מערב/דרום,"1,892,985 ₪",,,B11-A13,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
14,11,4,228,3-EM,3,82.34,20.64,כן,8.94,2,מערב/צפון/מזרח,"1,188,601 ₪",,,B11-A14,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
15,11,5,228,3-CM,5,125.93,24.27,כן,9.76,2,צפון/מזרח/דרום,"1,879,366 ₪",,,B11-A15,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
16,11,5,228,3-DM,5,127.03,24.29,כן,9.74,2,מערב/דרום,"1,893,789 ₪",,,B11-A16,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
17,11,5,228,3-EM,3,82.34,20.64,כן,9.30,2,מערב/צפון/מזרח,"1,190,382 ₪",,,B11-A17,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
18,11,6,228,3-CM,5,125.93,24.27,כן,9.65,2,צפון/מזרח/דרום,"1,878,685 ₪",,,B11-A18,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
19,11,6,228,3-FM,5,155.37,100.78,לא,9.79,2,מערב/דרום/צפון,,,,B11-A19,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
20,11,7,228,3-GM,5,184.11,126.56,לא,9.43,2,מזרח/דרום/מערב/צפון,,,,B11-A20,https://shoval-haifa.webzsites.site/#priceListD,מבנה 11,2026-07-29
