apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,source_url,source_section,scan_date,id
17,3,5,228,3-E,3,82.34,20.64,כן,9.09,2,דרום/מזרח/צפון,"1,189,343 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/17.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A17
18,3,6,228,3-C,5,125.93,24.27,כן,8.51,2,צפון/מזרח/מערב,"1,871,636 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/18.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A18
19,3,6,228,3-F,5,155.37,100.78,לא,9.59,2,מערב/דרום/מזרח,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A19
20,3,7,228,3-G,5,184.11,126.56,לא,9.43,2,צפון/מערב/דרום/מזרח,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/7.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A20
1,4,קרקע,228,3ב-A,5,127.69,264.61,לא,10.41,2,מזרח/צפון/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A1
2,4,קרקע,228,3ב-B,5,127.48,268.23,לא,10.39,2,מערב/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A2
3,4,1,228,3-CM,5,125.93,24.27,כן,8.56,2,מזרח/צפון/דרום,"1,871,945 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/3.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A3
4,4,1,228,3-DM,5,127.03,24.29,כן,8.24,2,מערב/דרום,"1,884,514 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/4.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A4
5,4,1,228,3-EM,3,82.34,20.64,כן,9.60,2,מערב/צפון/מזרח,"1,191,866 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/5.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A5
6,4,2,228,3-CM,5,125.93,24.27,כן,8.78,2,מזרח/צפון/דרום,"1,873,306 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/6.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A6
7,4,2,228,3-DM,5,127.03,24.29,כן,8.71,2,מערב/דרום,"1,887,420 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/7.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A7
8,4,2,228,3-EM,3,82.34,20.64,כן,9.65,2,מערב/צפון/מזרח,"1,192,113 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/8.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A8
9,4,3,228,3-CM,5,125.93,24.27,כן,9.08,2,מזרח/צפון/דרום,"1,875,161 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/9.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A9
10,4,3,228,3-DM,5,127.03,24.29,כן,8.97,2,מערב/דרום,"1,889,028 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/10.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A10
11,4,3,228,3-EM,3,82.34,20.64,כן,9.93,2,מערב/צפון/מזרח,"1,193,498 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/11.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A11
12,4,4,228,3-CM,5,125.93,24.27,כן,9.23,2,מזרח/צפון/דרום,"1,876,088 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/12.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A12
13,4,4,228,3-DM,5,127.03,24.29,כן,9.15,2,מערב/דרום,"1,890,141 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/13.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A13
14,4,4,228,3-EM,3,82.34,20.64,כן,9.74,2,מערב/צפון/מזרח,"1,192,558 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/14.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A14
15,4,5,228,3-CM,5,125.93,24.27,כן,9.25,2,מזרח/צפון/דרום,"1,876,212 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%204/15.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A15
16,4,5,228,3-FM,5,155.37,100.78,לא,10.17,2,צפון/מערב/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A16
17,4,6,228,3-GM,5,184.11,126.56,לא,9.96,2,מזרח/מערב/דרום/צפון,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/4/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 4,2026-07-29,B4-A17
1,5,קרקע,228,3-H,5,127.69,264.43,לא,9.70,2,מערב/צפון/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A1
2,5,קרקע,228,3-I,5,127.48,251.93,לא,10.36,2,מזרח/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A2
3,5,1,228,3-C,5,125.93,24.27,כן,7.57,2,מערב/צפון/דרום,"1,865,823 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/3.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A3
4,5,1,228,3-D,5,127.03,24.29,כן,7.01,2,מזרח/דרום,"1,876,908 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/4.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A4
5,5,1,228,3-E,3,82.34,20.64,כן,8.38,2,מזרח/צפון/מערב,"1,185,830 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/5.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A5
6,5,2,228,3-C,5,125.93,24.27,כן,7.59,2,מערב/צפון/דרום,"1,865,947 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/6.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A6
7,5,2,228,3-D,5,127.03,24.29,כן,7.10,2,מזרח/דרום,"1,877,464 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/7.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A7
8,5,2,228,3-E,3,82.34,20.64,כן,8.99,2,מזרח/צפון/מערב,"1,188,848 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/8.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A8
9,5,3,228,3-C,5,125.93,24.27,כן,7.75,2,מערב/צפון/דרום,"1,866,936 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/9.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A9
10,5,3,228,3-D,5,127.03,24.29,כן,7.13,2,מזרח/דרום,"1,877,650 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/10.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A10
11,5,3,228,3-E,3,82.34,20.64,כן,9.05,2,מזרח/צפון/מערב,"1,189,145 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/11.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A11
12,5,4,228,3-C,5,125.93,24.27,כן,7.95,2,מערב/צפון/דרום,"1,868,173 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/12.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A12
13,5,4,228,3-D,5,127.03,24.29,כן,7.14,2,מזרח/דרום,"1,877,711 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/13.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A13
14,5,4,228,3-E,3,82.34,20.64,כן,9.15,2,מזרח/צפון/מערב,"1,189,640 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/14.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A14
15,5,5,228,3-C,5,125.93,24.27,כן,7.96,2,מערב/צפון/דרום,"1,868,235 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/15.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A15
16,5,5,228,3-D,5,127.03,24.29,כן,7.95,2,מזרח/דרום,"1,882,720 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/16.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A16
17,5,5,228,3-E,3,82.34,20.64,כן,9.40,2,מזרח/צפון/מערב,"1,190,876 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/17.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A17
18,5,6,228,3-C,5,125.93,24.27,כן,8.22,2,מערב/צפון/דרום,"1,869,843 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%205/18.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A18
19,5,6,228,3-F,5,155.37,100.78,לא,9.68,2,מזרח/דרום/צפון,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A19
20,5,7,228,3-G,5,184.11,126.56,לא,9.47,2,מערב/מזרח/צפון/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/5/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/7.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 5,2026-07-29,B5-A20
1,6,קרקע,228,3-JM,5,127.69,147.67,לא,10.21,2,צפון/מזרח/מערב,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A1
2,6,קרקע,228,3-KM,5,127.48,210.46,לא,10.21,2,דרום מזרח,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A2
3,6,1,228,3-CM,5,125.93,24.27,כן,7.40,2,צפון/מזרח/מערב,"1,864,772 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/3.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A3
4,6,1,228,3-DM,5,127.03,24.29,כן,6.70,2,דרום מזרח,"1,874,991 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/4.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A4
5,6,1,228,3-EM,3,82.34,20.64,כן,8.19,2,דרום/מערב/צפון,"1,184,890 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/5.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A5
6,6,2,228,3-CM,5,125.93,24.27,כן,7.47,2,צפון/מזרח/מערב,"1,865,205 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/6.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A6
7,6,2,228,3-DM,5,127.03,24.29,כן,6.92,2,דרום מזרח,"1,876,351 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/7.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A7
8,6,2,228,3-EM,3,82.34,20.64,כן,8.82,2,דרום/מערב/צפון,"1,188,007 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/8.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A8
9,6,3,228,3-CM,5,125.93,24.27,כן,7.47,2,צפון/מזרח/מערב,"1,865,205 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/9.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A9
10,6,3,228,3-DM,5,127.03,24.29,כן,7.18,2,דרום מזרח,"1,877,959 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/10.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A10
11,6,3,228,3-EM,3,82.34,20.64,כן,9.39,2,דרום/מערב/צפון,"1,190,827 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/11.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A11
12,6,4,228,3-CM,5,125.93,24.27,כן,7.69,2,צפון/מזרח/מערב,"1,866,565 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/12.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A12
13,6,4,228,3-DM,5,127.03,24.29,כן,7.43,2,דרום מזרח,"1,879,505 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/13.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A13
14,6,4,228,3-EM,3,82.34,20.64,כן,9.40,2,דרום/מערב/צפון,"1,190,876 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%206/14.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/6/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 6,2026-07-29,B6-A14
