apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,source_url,source_section,scan_date,id
1,2,קרקע,228,2-A,5,143.19,161.93,לא,10.44,2,צפון/מזרח/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A1
2,2,קרקע,228,2-B,5,141.20,100.27,לא,9.37,2,מערב/דרום/מזרח,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A2
3,2,1,228,2-C,5,125.84,21.46,כן,9.12,2,מערב/דרום/מזרח,"1,861,193 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/3.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A3
4,2,1,228,2-D,5,125.85,21.27,כן,8.19,2,צפון/מזרח/דרום,"1,854,693 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/4.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A4
5,2,1,228,2-E,3,80.00,17.98,כן,6.86,2,צפון/מערב,"1,139,502 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/5.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A5
6,2,2,228,2-C,5,125.84,21.46,כן,8.65,2,מערב/דרום/מזרח,"1,858,287 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/6.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A6
7,2,2,228,2-D,5,125.85,21.27,כן,8.53,2,צפון/מזרח/דרום,"1,856,795 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/7.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A7
8,2,2,228,2-E,3,80.00,17.98,כן,7.52,2,צפון/מערב,"1,142,767 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/8.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A8
9,2,3,228,2-C,5,125.84,21.46,כן,9.33,2,מערב/דרום/מזרח,"1,862,492 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/9.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A9
10,2,3,228,2-D,5,125.85,21.27,כן,8.80,2,צפון/מזרח/דרום,"1,858,465 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/10.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A10
11,2,3,228,2-E,3,80.00,17.98,כן,7.61,2,צפון/מערב,"1,143,213 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/11.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A11
12,2,4,228,2-C,5,125.84,21.46,כן,8.79,2,מערב/דרום/מזרח,"1,859,153 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/12.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A12
13,2,4,228,2-D,5,125.85,21.27,כן,9.79,2,צפון/מזרח/דרום,"1,864,587 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/13.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A13
14,2,4,228,2-E,3,80.00,17.98,כן,8.86,2,צפון/מערב,"1,149,396 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/14.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A14
15,2,5,228,2-C-1,5,125.84,21.46,כן,8.93,2,מערב/דרום/מזרח,"1,860,018 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/15.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A15
16,2,5,228,2-D-1,5,125.85,21.27,כן,9.32,2,צפון/מזרח/דרום,"1,861,680 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/16.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A16
17,2,5,228,2-E-1,3,80.00,17.98,כן,7.54,2,צפון/מערב,"1,142,866 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%202/17.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A17
18,2,6,228,2-F,5,144.62,39.14,לא,9.43,2,מערב/דרום/מזרח,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A18
19,2,6,228,2-G,5,142.20,39.50,לא,9.41,2,מערב/צפון/מזרח/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/6.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A19
20,2,7,228,2-H,6,176.63,115.44,לא,9.59,2,מערב/צפון/מזרח/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/2/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/7.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29,B2-A20
1,3,קרקע,228,3-A,5,127.69,137.86,לא,9.60,2,צפון/מזרח/מערב,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A1
2,3,קרקע,228,3-B,5,127.48,179.14,לא,10.11,2,מערב/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A2
3,3,1,228,3-C,5,125.93,24.27,כן,9.04,2,צפון/מזרח/מערב,"1,874,913 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/3.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A3
4,3,1,228,3-D,5,127.03,24.29,כן,6.46,2,מערב/דרום,"1,873,507 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/4.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A4
5,3,1,228,3-E,3,82.34,20.64,כן,9.31,2,דרום/מזרח/צפון,"1,190,431 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/5.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A5
6,3,2,228,3-C,5,125.93,24.27,כן,6.90,2,צפון/מזרח/מערב,"1,861,680 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/6.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A6
7,3,2,228,3-D,5,127.03,24.29,כן,7.99,2,מערב/דרום,"1,882,968 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/7.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A7
8,3,2,228,3-E,3,82.34,20.64,כן,8.83,2,דרום/מזרח/צפון,"1,188,057 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/8.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A8
9,3,3,228,3-C,5,125.93,24.27,כן,7.99,2,צפון/מזרח/מערב,"1,868,421 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/9.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A9
10,3,3,228,3-D,5,127.03,24.29,כן,8.08,2,מערב/דרום,"1,883,524 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/10.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A10
11,3,3,228,3-E,3,82.34,20.64,כן,9.07,2,דרום/מזרח/צפון,"1,189,244 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/11.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A11
12,3,4,228,3-C,5,125.93,24.27,כן,8.20,2,צפון/מזרח/מערב,"1,869,719 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/12.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A12
13,3,4,228,3-D,5,127.03,24.29,כן,8.46,2,מערב/דרום,"1,885,874 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/13.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A13
14,3,4,228,3-E,3,82.34,20.64,כן,9.07,2,דרום/מזרח/צפון,"1,189,244 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/14.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A14
15,3,5,228,3-C,5,125.93,24.27,כן,8.49,2,צפון/מזרח/מערב,"1,871,512 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/15.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A15
16,3,5,228,3-D,5,127.03,24.29,כן,8.50,2,מערב/דרום,"1,886,121 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%203/16.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/3/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 3,2026-07-29,B3-A16
